"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http://unknown.org/captive","identificationID","identificationRemarks","occurrenceRemarks","informationWithheld","name"
"4075614861","Lobaria pulmonaria (L.) Hoffm.","48.48630","-123.4483","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:45:29.799+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5260693","5","95","     180","    1055","   8375","2600355"," 5260693"," 5260693","Lobaria pulmonaria (L.) Hoffm.","Fungi","Ascomycota","Peltigerales","Lobariaceae","Lobaria","Lobaria pulmonaria","Lobaria","pulmonaria","SPECIES","ACCEPTED","NE","2023-03-19T15:46:18","   200","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T11:26:00","2023-03-24T21:03:25.000+00:00","2023-04-11T18:45:29.799+00:00","https://www.inaturalist.org/observations/145614607","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","iNaturalist research-grade observations","Noah How","Noah How","WGS84","Lecanoromycetes","CA","Canada","Noah How","145614607","nhow","2023/01/01 11:26 AM","Observations","4075614861","Capital, BC, Canada","https://www.inaturalist.org/observations/145614607","48711","145614607","iNaturalist","11:26:00-08:00","wild","324236558",NA,NA,NA,"Lobaria pulmonaria (L.) Hoffm."
"4075584864","Sphaerophorus tuckermanii Räsänen","48.48630","-123.4483","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:47:16.091+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5471125","5","95","     180","    1048","   4810","2608411"," 5261338"," 5261338","Sphaerophorus globosus (Huds.) Vain.","Fungi","Ascomycota","Lecanorales","Sphaerophoraceae","Sphaerophorus","Sphaerophorus globosus","Sphaerophorus","tuckermanii","SPECIES","SYNONYM","NE","2023-01-01T22:47:09","   200","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T12:01:00","2023-03-24T21:03:25.000+00:00","2023-04-11T18:47:16.091+00:00","https://www.inaturalist.org/observations/145614670","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","iNaturalist research-grade observations","Noah How","Myung Jin (John) Kang","WGS84","Lecanoromycetes","CA","Canada","Noah How","145614670","nhow","2023/01/01 12:01 PM","Observations","4075584864","Capital, BC, Canada","https://www.inaturalist.org/observations/145614670","123231","145614670","iNaturalist","12:01:00-08:00","wild","324241852",NA,NA,NA,"Sphaerophorus tuckermanii Räsänen"
"4011601239","Physcia tenella (Scop.) DC.","48.41779","-123.3424","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:46:46.381+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2608944","5","95","     180","10861608","   8369","2600367"," 2608944"," 2608944","Physcia tenella (Scop.) DC.","Fungi","Ascomycota","Caliciales","Physciaceae","Physcia","Physcia tenella","Physcia","tenella","SPECIES","ACCEPTED","NE","2023-01-01T23:24:42","     2","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T14:15:00","2023-01-01T23:55:15.000+00:00","2023-04-11T18:46:46.381+00:00","https://www.inaturalist.org/observations/145619638","http://creativecommons.org/publicdomain/zero/1.0/legalcode","FALSE","iNaturalist research-grade observations","Brian Starzomski","Brian Starzomski","WGS84","Lecanoromycetes","CA","Canada","Brian Starzomski","145619638","bstarzomski","2023/01/01 2:15 PM","Observations","4011601239","Rockland, Victoria, BC, Canada","https://www.inaturalist.org/observations/145619638","228059","145619638","iNaturalist","14:15:00-08:00","wild","324250052",NA,NA,NA,"Physcia tenella (Scop.) DC."
"4011605204","Evernia prunastri (L.) Ach.","48.62953","-123.4649","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:52:35.154+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2605261","5","95","     180","    1048","   8305","2605254"," 2605261"," 2605261","Evernia prunastri (L.) Ach.","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Evernia","Evernia prunastri","Evernia","prunastri","SPECIES","ACCEPTED","NE","2023-01-02T01:00:32","   355","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T14:48:15","2023-01-02T16:32:20.000+00:00","2023-04-11T18:52:35.154+00:00","https://www.inaturalist.org/observations/145626873","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Dan Kells","Dan Kells","WGS84","Lecanoromycetes","CA","Canada","Dan Kells","145626873","dougiefir","2023-01-01 14:48:15","Observations","4011605204","Capital, BC V8L, Canada","https://www.inaturalist.org/observations/145626873","123175","145626873","iNaturalist","14:48:15-08:00","wild","324268496",NA,NA,NA,"Evernia prunastri (L.) Ach."
"4011712210","Cladonia squamosa","48.78214","-123.5684","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:45:37.844+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 7411883","5","95","     180","    1048","   8328","2607519"," 7411883"," 7411883","Cladonia squamosa","Fungi","Ascomycota","Lecanorales","Cladoniaceae","Cladonia","Cladonia squamosa","Cladonia","squamosa","SPECIES","ACCEPTED","NE","2023-01-02T02:31:54","    36","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T13:08:28","2023-01-02T02:33:24.000+00:00","2023-04-11T18:45:37.844+00:00","https://www.inaturalist.org/observations/145627018","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","klbarry","Stewart Wechsler","WGS84","Lecanoromycetes","CA","Canada","klbarry","145627018","klbarry","2023-01-01 13:08:28-08:00","Observations","4011712210","North Cowichan, BC, CA","https://www.inaturalist.org/observations/145627018","117963","145627018","iNaturalist","13:08:28-08:00","wild","324287531","[C. furcata](https://www.inaturalist.org/observations/107152719) doesn't have such numerous, large, horizontal scales on the podetia (stalks). Those large scales, but without a red tip to the podetia, distinguish[ C. squamosa](https://www.inaturalist.org/observations/70988327).",NA,NA,"Cladonia squamosa"
"4011520235","Nectria cinnabarina (Tode) Fr.","49.12191","-122.1845","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:51:23.311+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5251836","5","95","     320","    1290","   4152","2560952"," 5251836"," 5251836","Nectria cinnabarina (Tode) Fr.","Fungi","Ascomycota","Hypocreales","Nectriaceae","Nectria","Nectria cinnabarina","Nectria","cinnabarina","SPECIES","ACCEPTED","NE","2023-01-02T03:56:46","   305","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T15:55:00","2023-01-02T06:01:33.000+00:00","2023-04-11T18:51:23.311+00:00","https://www.inaturalist.org/observations/145637879","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Darcy Kehler","Darcy Kehler","WGS84","Sordariomycetes","CA","Canada","Darcy Kehler","145637879","lophopanopeus","2023/01/01 3:55 PM","Observations","4011520235","Fraser Valley, BC, Canada","https://www.inaturalist.org/observations/145637879","118012","145637879","iNaturalist","15:55:00-08:00","wild","324301946",NA,NA,NA,"Nectria cinnabarina (Tode) Fr."
"4011663232","Parmelia sulcata Taylor","49.12191","-122.1845","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:54:00.275+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2605963","5","95","     180","    1048","   8305","2576643"," 2605963"," 2605963","Parmelia sulcata Taylor","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Parmelia","Parmelia sulcata","Parmelia","sulcata","SPECIES","ACCEPTED","NE","2023-01-02T03:56:48","   305","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T15:40:00","2023-01-02T14:17:55.000+00:00","2023-04-11T18:54:00.275+00:00","https://www.inaturalist.org/observations/145637886","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Darcy Kehler","Darcy Kehler","WGS84","Lecanoromycetes","CA","Canada","Darcy Kehler","145637886","lophopanopeus","2023/01/01 3:40 PM","Observations","4011663232","Fraser Valley, BC, Canada","https://www.inaturalist.org/observations/145637886","54734","145637886","iNaturalist","15:40:00-08:00","wild","324301955",NA,NA,NA,"Parmelia sulcata Taylor"
"4011499255","Lobaria pulmonaria (L.) Hoffm.","49.12183","-122.1844","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:54:11.165+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5260693","5","95","     180","    1055","   8375","2600355"," 5260693"," 5260693","Lobaria pulmonaria (L.) Hoffm.","Fungi","Ascomycota","Peltigerales","Lobariaceae","Lobaria","Lobaria pulmonaria","Lobaria","pulmonaria","SPECIES","ACCEPTED","NE","2023-01-02T03:56:48","   285","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T15:40:00","2023-01-02T16:14:24.000+00:00","2023-04-11T18:54:11.165+00:00","https://www.inaturalist.org/observations/145637887","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Darcy Kehler","Darcy Kehler","WGS84","Lecanoromycetes","CA","Canada","Darcy Kehler","145637887","lophopanopeus","2023/01/01 3:40 PM","Observations","4011499255","Fraser Valley, BC, Canada","https://www.inaturalist.org/observations/145637887","48711","145637887","iNaturalist","15:40:00-08:00","wild","324301957",NA,NA,NA,"Lobaria pulmonaria (L.) Hoffm."
"4011583247","Xylaria hypoxylon (L.) Grev.","49.25589","-123.2007","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:49:42.949+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5255147","5","95","     320","    1298","   4168","2568748"," 5255147"," 5255147","Xylaria hypoxylon (L.) Grev.","Fungi","Ascomycota","Xylariales","Xylariaceae","Xylaria","Xylaria hypoxylon","Xylaria","hypoxylon","SPECIES","ACCEPTED","NE","2023-01-02T04:06:43","     8","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T12:35:44","2023-01-02T07:08:37.000+00:00","2023-04-11T18:49:42.949+00:00","https://www.inaturalist.org/observations/145638519","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","jc123456","jc123456","WGS84","Sordariomycetes","CA","Canada","jc123456","145638519","jc123456","2023-01-01 12:35:44-08:00","Observations","4011583247","Pacific Spirit Regional Park, Greater Vancouver, BC, CA","https://www.inaturalist.org/observations/145638519","55267","145638519","iNaturalist","12:35:44-08:00","wild","324303593",NA,NA,NA,"Xylaria hypoxylon (L.) Grev."
"4011523275","Parmelia sulcata Taylor","49.25765","-123.2030","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:52:31.882+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2605963","5","95","     180","    1048","   8305","2576643"," 2605963"," 2605963","Parmelia sulcata Taylor","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Parmelia","Parmelia sulcata","Parmelia","sulcata","SPECIES","ACCEPTED","NE","2023-01-02T04:15:40","     6","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T12:49:38","2023-01-02T16:11:23.000+00:00","2023-04-11T18:52:31.882+00:00","https://www.inaturalist.org/observations/145639158","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","jc123456","jc123456","WGS84","Lecanoromycetes","CA","Canada","jc123456","145639158","jc123456","2023-01-01 12:49:38-08:00","Observations","4011523275","Camosun Park, Vancouver, BC, CA","https://www.inaturalist.org/observations/145639158","54734","145639158","iNaturalist","12:49:38-08:00","wild","324305100",NA,NA,NA,"Parmelia sulcata Taylor"
"4011536282","Nephroma helveticum Ach.","49.29111","-124.6601","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:41:28.027+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2601185","5","95","     180","    1055","   8374","2601179"," 2601185"," 2601185","Nephroma helveticum Ach.","Fungi","Ascomycota","Peltigerales","Nephromataceae","Nephroma","Nephroma helveticum","Nephroma","helveticum","SPECIES","ACCEPTED","NE","2023-01-02T16:05:36","    15","NORTH_AMERICA","British Columbia","2023","1"," 1","2023-01-01T10:07:00","2023-01-02T20:15:29.000+00:00","2023-04-11T18:41:28.027+00:00","https://www.inaturalist.org/observations/145672216","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","bombusmixtus","bombusmixtus","WGS84","Lecanoromycetes","CA","Canada","bombusmixtus","145672216","bombusmixtus","2023/01/01 10:07 AM","Observations","4011536282","Nanaimo, BC, Canada","https://www.inaturalist.org/observations/145672216","225800","145672216","iNaturalist","10:07:00-08:00","wild","324405313",NA,"Found on a branch that had fallen to the ground. Medulla white, underside tomentose, and apothecia on underside.",NA,"Nephroma helveticum Ach."
"4012029327","Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson","48.46567","-123.3728","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:44:59.362+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2584352","5","95","     179","    1052","3554335","2584341"," 2584352"," 2584352","Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson","Fungi","Ascomycota","Helotiales","Gelatinodiscaceae","Ascocoryne","Ascocoryne sarcoides","Ascocoryne","sarcoides","SPECIES","ACCEPTED","NE","2023-01-02T21:50:50","    16","NORTH_AMERICA","British Columbia","2023","1"," 2","2023-01-02T12:46:44","2023-01-03T05:54:03.000+00:00","2023-04-11T18:44:59.362+00:00","https://www.inaturalist.org/observations/145698298","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","KGW","KGW","WGS84","Leotiomycetes","CA","Canada","KGW","145698298","kdgw","2023-01-02 12:46:44-08:00","Observations","4012029327","Nelthorpe St, Saanich, BC, CA","https://www.inaturalist.org/observations/145698298","49075","145698298","iNaturalist","12:46:44-08:00","wild","324477543",NA,NA,NA,"Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson"
"4011886372","Sphaerophorus tuckermanii Räsänen","48.47127","-123.4671","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:47:15.301+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5471125","5","95","     180","    1048","   4810","2608411"," 5261338"," 5261338","Sphaerophorus globosus (Huds.) Vain.","Fungi","Ascomycota","Lecanorales","Sphaerophoraceae","Sphaerophorus","Sphaerophorus globosus","Sphaerophorus","tuckermanii","SPECIES","SYNONYM","NE","2023-01-03T03:41:20","     5","NORTH_AMERICA","British Columbia","2023","1"," 2","2023-01-02T15:45:07","2023-01-03T05:11:10.000+00:00","2023-04-11T18:47:15.301+00:00","https://www.inaturalist.org/observations/145719402","http://creativecommons.org/publicdomain/zero/1.0/legalcode","FALSE","iNaturalist research-grade observations","Gabe Schp","Myung Jin (John) Kang","WGS84","Lecanoromycetes","CA","Canada","Gabe Schp","145719402","gabe_schp","2023-01-02 15:45:07-08:00","Observations","4011886372","View Royal, BC, CA","https://www.inaturalist.org/observations/145719402","123231","145719402","iNaturalist","15:45:07-08:00","wild","324551501",NA,NA,NA,"Sphaerophorus tuckermanii Räsänen"
"4014902795","Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson","49.01592","-122.4563","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:45:38.392+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2584352","5","95","     179","    1052","3554335","2584341"," 2584352"," 2584352","Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson","Fungi","Ascomycota","Helotiales","Gelatinodiscaceae","Ascocoryne","Ascocoryne sarcoides","Ascocoryne","sarcoides","SPECIES","ACCEPTED","NE","2023-01-03T02:37:32","    46","NORTH_AMERICA","British Columbia","2023","1"," 2","2023-01-02T15:48:00","2023-01-05T06:07:20.000+00:00","2023-04-11T18:45:38.392+00:00","https://www.inaturalist.org/observations/145720870","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Darcy Kehler","Darcy Kehler","WGS84","Leotiomycetes","CA","Canada","Darcy Kehler","145720870","lophopanopeus","2023/01/02 3:48 PM","Observations","4014902795","West Abbotsford, Abbotsford, BC, Canada","https://www.inaturalist.org/observations/145720870","49075","145720870","iNaturalist","15:48:00-08:00","wild","324535755",NA,NA,NA,"Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson"
"4015230781","Nectria cinnabarina (Tode) Fr.","49.01428","-122.4533","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:46:41.613+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5251836","5","95","     320","    1290","   4152","2560952"," 5251836"," 5251836","Nectria cinnabarina (Tode) Fr.","Fungi","Ascomycota","Hypocreales","Nectriaceae","Nectria","Nectria cinnabarina","Nectria","cinnabarina","SPECIES","ACCEPTED","NE","2023-01-03T02:37:33","    15","NORTH_AMERICA","British Columbia","2023","1"," 2","2023-01-02T15:30:00","2023-01-05T06:07:05.000+00:00","2023-04-11T18:46:41.613+00:00","https://www.inaturalist.org/observations/145720876","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Darcy Kehler","Darcy Kehler","WGS84","Sordariomycetes","CA","Canada","Darcy Kehler","145720876","lophopanopeus","2023/01/02 3:30 PM","Observations","4015230781","West Abbotsford, Abbotsford, BC, Canada","https://www.inaturalist.org/observations/145720876","118012","145720876","iNaturalist","15:30:00-08:00","wild","324535764",NA,NA,NA,"Nectria cinnabarina (Tode) Fr."
"4011980382","Graphis scripta (L.) Ach.","49.24621","-122.9187","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:52:11.807+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 7249709","5","95","     180","    1279","   2176","2602041"," 7249709"," 7249709","Graphis scripta (L.) Ach.","Fungi","Ascomycota","Ostropales","Graphidaceae","Graphis","Graphis scripta","Graphis","scripta","SPECIES","ACCEPTED","NE","2023-01-03T05:10:18","    26","NORTH_AMERICA","British Columbia","2023","1"," 2","2023-01-02T08:54:44","2023-01-03T14:15:35.000+00:00","2023-04-11T18:52:11.807+00:00","https://www.inaturalist.org/observations/145729725","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Guerric Haché","Guerric Haché","WGS84","Lecanoromycetes","CA","Canada","Guerric Haché","145729725","guerrichache","2023-01-02 08:54:44","Observations","4011980382","Burnaby, BC V3N 4G7, Canada","https://www.inaturalist.org/observations/145729725","117987","145729725","iNaturalist","08:54:44-08:00","wild","324565936",NA,NA,NA,"Graphis scripta (L.) Ach."
"4011999331","Vulpicida canadensis (Räsänen) J.-E.Mattsson & M.J.Lai","49.03900","-124.0717","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:48:31.755+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 2605830","5","95","     180","    1048","   8305","2605819"," 2605830"," 2605830","Vulpicida canadensis (Räsänen) J.-E.Mattsson & M.J.Lai","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Vulpicida","Vulpicida canadensis","Vulpicida","canadensis","SPECIES","ACCEPTED","NE","2023-01-03T06:46:24"," 26582","NORTH_AMERICA","British Columbia","2023","1"," 2","2023-01-02T12:04:28","2023-01-03T17:50:22.000+00:00","2023-04-11T18:48:31.755+00:00","https://www.inaturalist.org/observations/145734352","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","champagnejain","champagnejain","WGS84","Lecanoromycetes","CA","Canada","champagnejain","145734352","champagnejain","2023-01-02 12:04:28-08:00","Observations","4011999331","British Columbia, CA","https://www.inaturalist.org/observations/145734352","54317","145734352","iNaturalist","12:04:28-08:00","wild","324579053",NA,NA,"Coordinate uncertainty increased to 26582m at the request of the observer","Vulpicida canadensis (Räsänen) J.-E.Mattsson & M.J.Lai"
"4014880783","Lobaria pulmonaria (L.) Hoffm.","48.50552","-123.3955","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:49:40.693+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5260693","5","95","     180","    1055","   8375","2600355"," 5260693"," 5260693","Lobaria pulmonaria (L.) Hoffm.","Fungi","Ascomycota","Peltigerales","Lobariaceae","Lobaria","Lobaria pulmonaria","Lobaria","pulmonaria","SPECIES","ACCEPTED","NE","2023-01-05T02:18:59","   200","NORTH_AMERICA","British Columbia","2023","1"," 2","2023-01-02T14:04:47","2023-01-05T02:26:41.000+00:00","2023-04-11T18:49:40.693+00:00","https://www.inaturalist.org/observations/145774062","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Darren and Claudia","jbindernagel","WGS84","Lecanoromycetes","CA","Canada","Darren and Claudia","145774062","dccopley","2023-01-02 14:04:47-08:00","Observations","4014880783","Viewmont, Saanich, BC, CA","https://www.inaturalist.org/observations/145774062","48711","145774062","iNaturalist","14:04:47-08:00","wild","325000309",NA,NA,NA,"Lobaria pulmonaria (L.) Hoffm."
"4014840798","Lobaria pulmonaria (L.) Hoffm.","49.28994","-124.1423","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-04-11T13:34:52.997+00:00","2023-04-11T18:37:41.760+00:00","356","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT"," 5260693","5","95","     180","    1055","   8375","2600355"," 5260693"," 5260693","Lobaria pulmonaria (L.) Hoffm.","Fungi","Ascomycota","Peltigerales","Lobariaceae","Lobaria","Lobaria pulmonaria","Lobaria","pulmonaria","SPECIES","ACCEPTED","NE","2023-01-03T21:50:57","    23","NORTH_AMERICA","British Columbia","2023","1"," 3","2023-01-03T13:50:39","2023-01-06T16:04:44.000+00:00","2023-04-11T18:37:41.760+00:00","https://www.inaturalist.org/observations/145781659","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","stephbrulot","stephbrulot","WGS84","Lecanoromycetes","CA","Canada","stephbrulot","145781659","stephbrulot","Tue Jan 03 2023 13:50:39 GMT -0800 (PST)","Observations","4014840798","Nanaimo","https://www.inaturalist.org/observations/145781659","48711","145781659","iNaturalist","13:50:39-08:00","wild","324732536",NA,NA,NA,"Lobaria pulmonaria (L.) Hoffm."
